target_id,single_rmse,ens_rmse,glm_rmse,glm_t_rmse
32671150,2.034847829,2.369468797,3.409461604,2.502912004
32672239,2.116985739,1.979007376,3.573444247,2.708898854
32732186,4.279930649,3.708637147,6.06194745,3.446035762
34121856,3.573913931,2.355460841,3.871127342,2.449307325
34121878,3.151498557,3.044362118,3.392074598,2.333075151
34122432,3.33142579,3.106680114,5.318428337,2.973317706
34126452,1.895730289,1.684580918,4.1763423,2.151460544
34126462,2.139166324,2.043165981,5.818441315,2.324050332
34126579,1.76480129,1.643378777,1.950805348,1.849272573
34126801,1.587310017,1.524839322,3.650475287,1.704552655
34126978,2.626523049,2.682383187,5.349048271,2.742671519
34127011,2.230482544,2.211521981,4.342494058,1.99534824
34127389,1.744048953,2.03204485,4.141147393,2.207710994
34127672,2.017295513,2.045189549,3.320574014,3.113670824
34127844,2.85517361,2.358017153,3.680834927,2.584242463
34127862,2.327449556,1.74396429,4.893599279,2.913987832
34128205,2.133041004,1.982372053,4.39002523,4.150387747
34128269,2.74693059,2.316143193,5.112757019,2.917223787
34128424,2.44192391,1.819165407,3.653442688,2.512926309
34128651,2.140540796,2.231410629,2.987783071,2.411511674
34129232,1.620593525,1.624550726,3.945659909,1.836677927
34130157,2.706203464,2.186313072,3.894586345,1.967226015
34130613,1.344710597,1.295702999,2.038424991,1.835945397
34130818,1.690027908,1.451481343,3.619081346,1.614279806
34130988,2.188934102,1.449853304,2.471809835,1.694951674
34131145,2.915647683,1.264844247,2.593224604,1.917895548
34131552,1.654596677,1.294349762,3.15497245,2.224166461
34132376,1.357453394,1.079091498,3.352230626,2.014352391
34132539,1.401298274,1.65950912,2.861817304,1.818306177
34133487,1.638328737,1.597616728,2.921221818,2.375893881
34242518,3.868506997,2.743973238,5.576776452,2.642127591
37648599,1.405331696,1.355384453,4.719477995,2.183293435
37648997,1.887459773,1.83505007,2.524967212,1.942404792
45337659,1.670915751,1.475238672,3.742096969,2.001586877
45338945,1.93010675,1.372712248,3.742163158,2.730145381
45365491,1.748840315,1.273272523,2.99066175,1.935368471
45730354,2.40728561,2.145041579,3.649785231,3.015969538
45730422,2.383947806,2.250746095,4.494909954,2.929657256
45730856,5.314139572,4.83623991,2.878196185,3.493751533
47478911,2.327256294,2.197626333,2.297183805,3.14271618
47480235,2.53461959,3.071551046,2.471103551,2.699926061
58125241,1.667162101,1.332070767,3.238915016,2.528519289
58125935,1.621118298,1.212449052,2.144678196,1.807484941
59753059,1.741818854,1.493572175,3.186485083,1.672851247
59808243,3.786370326,2.416064735,2.574823604,3.649829105
60087894,2.980692878,5.41389139,3.234466856,3.769074755
68838259,2.082123287,1.491459234,2.693071671,2.109660462
68838273,1.588098778,1.187656617,2.759132616,1.88449797
68840139,2.974111569,2.697676985,6.223235948,3.877718398
69546231,3.127696082,2.530438646,2.740919499,2.277830992
69546677,1.289641153,1.185843837,4.920864361,1.798162275
69546831,1.773264013,1.06454643,1.933407494,2.027873379
69547885,1.395428867,1.370170387,1.590832395,2.292416927
69547949,1.51619868,1.242191065,2.700315772,2.074455381
69884058,4.034735473,3.654503897,5.165126862,3.584738204
69885442,2.686502394,2.133357381,3.590115447,2.792341753
69885902,2.842538502,2.546640802,3.600336114,3.001162512
69886284,1.50175701,1.654636439,4.094375237,2.751091422
69886444,2.498900673,1.677808224,1.823370159,3.250376534
69886650,4.978931892,4.299087071,5.516803096,3.008151695
70330275,2.031781065,1.969953207,1.493018076,1.673329388
70331641,2.959228614,2.082536619,1.646113694,2.329669612
70332231,1.642244919,1.660296647,2.614441311,2.112479225
70333891,1.500819293,1.750536941,2.610028744,2.778863487
72863203,1.656281799,1.978576415,2.036037647,2.714170434
74926427,5.05924024,4.21172574,6.445053337,3.866900994
74926457,3.078125704,2.36663324,3.742490541,2.446481672
74926527,1.325485781,1.57258927,1.447418953,2.217819848
74926543,2.669383954,2.585121309,2.367617319,2.648590728
74926703,2.207428792,1.993476976,3.505004359,3.168323003
74926805,2.818126138,2.400087357,1.872565426,2.004072637
74927813,5.664771234,5.399513205,5.13815588,4.457417114
75651475,4.459383822,3.375901262,3.515084978,5.862838232
75655457,2.84477246,2.393489298,3.254089373,2.612384436
75659739,2.282387138,2.379238051,4.308946821,2.454615345
76155937,2.372736242,1.475005421,2.086008521,2.562993971
77358322,3.251483894,1.837772409,2.38124671,2.743668304
80004215,2.315998982,1.937647732,2.257659136,2.366087261
81642745,2.05896938,1.437935642,4.196178494,1.928824131
81642813,1.539864476,1.401167915,2.603257648,1.687103584
81643237,2.302493748,1.421567661,3.040541795,2.071347892
82815984,5.230614054,5.094550786,3.397583198,5.887475042
82819488,3.872131829,2.731113647,2.375295303,3.967380939
82819600,2.503882377,2.104572486,2.188339282,3.706752781
82819628,1.216828708,3.031953605,2.310990077,3.079446111
83826087,1.460111422,1.274504522,3.782489021,2.102730636
86273851,1.432024548,1.494886338,3.401722197,2.22967502
86274219,1.223784275,1.038244559,3.605548656,1.437972802
86275155,1.132152973,0.9949178549,3.808464572,2.093105856
86275565,1.491639536,1.409936102,3.929602711,1.643830353
86275759,1.206557794,1.597323744,2.023324939,3.050358281
86275955,1.989892428,1.161435719,2.18567861,2.586779424
91593573,1.611778798,0.9826175706,6.07461382,1.692163868
91593815,1.722912716,1.28544509,5.046045169,2.156249598
91594453,1.747310636,1.734415438,4.223754672,1.830215821
91594459,1.594007466,1.252653465,3.497010016,2.026826044
91594493,1.633717249,1.274756083,5.076257678,1.747741712
91594761,2.728433159,1.839298353,3.871116176,2.641381327
91595175,1.608606546,1.448523046,3.377640299,3.341285295
91595431,2.426913558,2.553090142,2.804084537,2.641079119
91595565,2.770362527,2.85303544,4.093359166,3.035159908
91595713,4.552780235,3.754745036,4.04484227,2.917710457
91595755,1.574081623,1.989280949,3.125627981,1.888968172
91595863,2.936910895,2.415086815,3.350731414,2.160036663
91595965,2.459858501,1.912681946,4.099243684,2.962382817
91596049,1.434778994,1.322429971,3.822473119,1.674237987
91596605,4.324318168,4.234536683,4.694505398,2.409765644
91597015,1.778222365,1.52864307,3.894982723,2.930453661
91597227,4.166055939,2.732042644,4.116861098,2.816136214
91597267,2.296222447,2.16608803,3.681890404,2.052337127
91598525,1.153130145,1.155932377,2.123918335,1.716101584
91676911,2.773520447,2.169835456,1.999706414,2.937948298
91681839,1.71762474,1.750507238,2.547417316,1.833753603
91682839,3.961087266,2.397031517,2.845547887,2.972029796
91684449,2.222300033,2.04572459,2.566480102,3.298057436
91685677,2.163873154,1.910979352,4.099791175,2.109790581
91686475,1.409666679,0.9588412065,5.507480578,1.84137394
91686757,1.842894197,1.838197771,3.778959101,3.715329966
91688055,2.470079639,2.19027067,5.847365629,2.536431805
91688597,1.298098823,1.243033856,5.600844363,2.276616569
91688615,1.602894067,1.441580981,3.067843846,2.027623141
91688765,2.649440696,1.171348706,3.437657718,2.273250283
91688957,1.58411355,1.398402487,4.685938476,2.043880971
91689147,1.40950881,1.046509894,2.806073287,1.99688689
91689407,2.449705004,1.849762282,5.666040048,2.30167277
91689611,2.849436172,2.210376752,4.594221331,3.027505129
91689661,2.131661533,1.490025974,5.186085936,2.398777706
91689681,1.393758421,1.153138536,5.880911517,1.942122632
91689717,2.408430766,2.01038831,4.419799634,2.342874057
91689905,1.159315276,1.19828025,4.746498333,1.990144089
91689945,2.935762418,1.958004172,3.748989517,2.447330454
91690083,1.58720852,1.136141873,5.466659035,1.947223821
91690625,2.054326104,2.014215647,5.287794792,3.541522477
91690679,1.558298728,1.267561024,3.662557377,2.899317732
91691383,2.395506558,1.645900332,3.41275346,2.536693962
91692157,2.285824895,2.12348762,4.629593764,2.811649496
91692247,2.133474592,2.046795345,3.730541674,3.306815896
91692261,2.327826156,1.809463541,4.057504348,2.729808678
105231881,2.673967743,1.533034563,1.948787081,2.675855087
105567402,1.553550218,1.252461991,2.10508975,2.138103714
107074156,2.022720289,1.20456629,2.389520576,2.30595776
107074838,2.445121691,2.648268632,2.775784668,3.277559439
109981506,3.330721617,2.43153351,4.970856971,3.341734284
113471457,2.166368541,1.613630303,2.542958542,2.883725692
114542575,1.742532674,1.692657665,1.534325621,2.338620429
114544961,2.425331274,2.523708931,3.778844898,1.891632667
120017991,1.645233002,1.566973902,3.661277794,2.477292727
120017997,2.204330882,1.146465507,2.587343056,1.789100624
120018005,1.58516074,1.462207002,2.71114741,1.523171959
120018007,2.04397049,2.112350487,4.98126606,2.413925476
120018008,1.88187954,1.828070297,3.957824775,2.040649823
120018012,3.560429885,2.217549002,5.536654885,4.064500138
120018013,4.575182274,4.3450689,5.930796309,4.242583418
120018014,1.575749378,1.181106786,2.084282919,1.777706613
120018017,2.527800016,2.297950295,2.341077728,2.235402186
120018025,2.279787477,1.915783824,2.918156775,2.212163031
120018027,1.54902861,1.760123896,3.513354241,2.409434653
120018036,3.253144829,2.424331879,3.187260876,3.702675069
120018038,1.642613932,1.417049842,3.396733086,1.799122747
120018046,2.776814669,3.344186962,3.262803521,3.51437442
120018047,1.710634456,1.174901578,1.928947647,1.939674122
120018055,3.562440126,2.467661604,3.826279271,2.363684286
120018060,1.548819417,1.767870384,3.97611961,2.480727056
120018061,1.386831024,1.263584119,3.352176079,2.885724356
120018072,2.019048667,1.340593169,3.889603329,1.767721705
120018073,2.227811752,2.321162664,4.2828001,3.102162275
120018078,3.059589905,2.305465283,3.231690168,2.063687752
120018079,1.630405765,1.510993999,3.27124177,2.526403646
120018085,1.330973469,1.563647239,5.093022872,3.18120086
120018088,1.514358808,1.833386505,3.654484139,2.879484857
120018091,2.173945296,1.749175574,3.469158594,2.170139074
120018092,2.264675741,1.416221387,4.994839678,2.289580394
120018098,2.234568166,2.193138937,3.720837656,1.998228946
120018103,2.610124394,2.547373064,4.848926892,2.949946442
120018106,1.825808896,1.933891041,4.683259221,2.366842194
120018120,3.827014967,2.362496369,4.015204662,1.794400055
120018135,1.76912596,1.240823052,2.37909105,2.65702077
120018136,2.437058659,1.469483371,4.733574269,1.887274892
120018182,1.563578578,1.412546411,4.394974775,1.954667378
120018204,1.533209034,1.457194323,4.294085503,2.063826444
120018220,1.257363881,1.177166229,2.623420458,3.915171847
120018226,2.349713664,2.081659977,3.764450803,2.169957362
120018233,1.300059756,1.208159,3.093071183,1.676900946
120018361,1.394223593,0.9547236208,2.186373188,1.527743268
120018423,1.360130782,1.503571411,5.341327222,1.586268709
